Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  65,   1,   1,    65.64944,    53.47465,    92.11800,    39.22588,    92.25506,    65.06757,   198.24818,    69.60831,   196.83702,   258.07858,   471.65414,     0.00000,   554.20868,     0.00000,   702.84412,     0.00000
  66,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.29839,    65.27412,   247.10597,   102.89781,   196.82855,   368.02768,   688.94061,     0.00000,   553.92944,     0.00000,   287.87738,     0.00000
  67,   1,   1,    65.67662,    53.63260,    92.44015,    39.42681,    92.69415,    65.44487,   406.39859,   208.44550,   196.82010,   455.75729,  1046.75354,     0.00000,   771.60419,     0.00000,   829.66760,     0.00000
  68,   1,   1,    65.64944,    53.48988,    92.74360,    39.22588,    92.41586,    65.19052,   404.97043,   208.13023,   196.81165,   325.38397,  1043.81824,     0.00000,   554.28485,     0.00000,   852.41132,     0.00000
  69,   1,   1,    65.64944,    53.56806,    92.11800,    39.42681,    92.25506,    65.34637,   405.64465,   207.81590,   196.80319,   326.85001,  1039.44543,     0.00000,   675.39319,     0.00000,   734.22131,     0.00000
  70,   1,   1,    65.67662,    53.63260,    92.47224,    39.36289,    92.73688,    65.38807,   393.85568,   207.50252,   208.00000,   473.83960,   638.86072,     0.00000,   765.81958,     0.00000,   897.34833,     0.00000
  71,   1,   1,    65.64944,    53.48988,    92.87194,    39.28998,    92.25526,    65.11834,   246.90421,   198.52161,   196.74629,   313.42059,   270.73483,     0.00000,   554.55432,     0.00000,  1041.65906,     0.00000
  72,   1,   1,    65.64944,    53.58328,    92.40565,    39.22570,    92.25565,    65.34616,   246.88737,   189.08424,   199.25713,   391.36255,   471.47299,     0.00000,   621.74518,     0.00000,   703.40088,     0.00000
  73,   1,   1,    65.73354,    53.60183,    92.18018,    39.42681,    92.57645,    65.46011,     0.00000,    69.60831,   196.72040,   325.60385,   471.48630,     0.00000,   783.93347,     0.00000,   703.64429,     0.00000
  74,   1,   1,    65.56554,    53.68825,    92.37652,    39.22588,    92.41586,    65.06155,     0.00000,    69.60831,   196.71194,   344.19986,   493.51242,     0.00000,   146.64389,     0.00000,   834.43481,     0.00000
  75,   1,   1,    65.64944,    53.40044,    92.27848,    39.35814,    92.17476,    65.28943,     0.00000,    69.60831,   196.70349,   391.91318,   975.03607,     0.00000,   222.14520,     0.00000,   230.00000,     0.00000
  76,   1,   1,    65.64944,    53.56793,    92.67637,    39.32639,    92.61389,    65.46017,     0.00000,    69.60831,   196.69504,   460.12833,   624.76276,     0.00000,   388.98047,     0.00000,   343.98254,     0.00000
  77,   1,   1,    65.64944,    53.56804,    92.20393,    39.29451,    92.37868,    65.20372,     0.00000,    69.60831,   196.68657,   314.33188,   471.45102,     0.00000,    94.00000,     0.00000,   495.36798,     0.00000
  78,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.21783,    65.16013,     0.00000,    69.60831,   196.67812,   313.38235,   276.68964,     0.00000,   555.02789,     0.00000,   230.00000,     0.00000
  79,   1,   1,    65.67662,    53.64790,    92.74360,    39.42681,    92.69415,    65.46027,     0.00000,    69.60831,   208.00000,   502.43619,   671.97443,     0.00000,    96.51052,     0.00000,   495.56952,     0.00000
  80,   1,   1,    65.67662,    53.53925,    92.19318,    39.22588,    92.25506,    65.09193,     0.00000,    69.60831,   208.00000,   352.01471,   546.18671,     0.00000,   611.72272,     0.00000,   258.32663,     0.00000
  81,   1,   1,    65.64944,    53.47459,    92.36497,    39.42681,    92.57667,    65.43166,     0.00000,   123.79059,   208.00000,   313.24829,   471.48621,     0.00000,   555.02789,     0.00000,  1016.68390,     0.00000
  82,   1,   1,    65.73354,    53.58649,    92.60182,    39.36289,    92.57607,    65.33099,     0.00000,   115.72284,   208.00000,   364.40500,   634.94843,     0.00000,   223.49983,     0.00000,   495.31802,     0.00000
  83,   1,   1,    65.56554,    53.68827,    92.27848,    39.32635,    92.45860,    65.17542,     0.00000,   110.81561,   208.00000,   456.64236,   471.47922,     0.00000,   555.02789,     0.00000,   240.97133,     0.00000
  84,   1,   1,    65.67662,    53.46502,    92.44015,    39.32635,    92.25506,    65.51711,     0.00000,    95.94637,   208.00000,   387.03571,   672.00079,     0.00000,   555.02789,     0.00000,   772.74475,     0.00000
