Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  42,   1,   1,   632.29999,   630.31158,   632.29999,   632.29999,   632.29999,   630.08813,     0.00000,   636.00000,   743.37256,   966.42047,  4360.81982,     0.00000,  3290.13721,     0.00000,   788.96790,     0.00000
  43,   1,   1,   632.29999,   633.40833,   634.50842,   632.29999,   633.40833,   633.40564,  1437.07227,  2253.16870,  1112.29944,  3982.80005,  4817.35156,     0.00000,  4737.35156,     0.00000,  4157.51807,     0.00000
  44,   1,   1,   632.29999,   631.19165,   630.09155,   632.52002,   631.30170,   631.19440,  1437.07227,  2252.06494,  1112.29944,  3982.80005,  4820.06445,     0.00000,  4741.29834,     0.00000,  4161.40283,     0.00000
  45,   1,   1,   633.40009,   632.52002,   634.13910,   636.49963,   635.61816,   632.85419,  1437.07227,  2296.08740,  1112.29944,  3982.80005,  4822.78613,     0.00000,  4741.29834,     0.00000,  5142.49072,     0.00000
  46,   1,   1,   632.29999,   634.28839,   633.76947,   632.29999,   634.39984,   633.46063,  1437.07227,  2296.02246,  1104.74072,  3982.80005,  4825.51660,     0.00000,  4741.29834,     0.00000,  5142.49072,     0.00000
  47,   1,   1,   631.19989,   630.97162,   632.07996,   630.96887,   631.63446,   632.35431,   709.89435,  2145.04858,   996.00000,  1203.36487,   342.00000,     0.00000,  3889.52783,     0.00000,  3840.41333,     0.00000
  48,   1,   1,   632.29999,   632.52826,   630.83490,   629.21149,   630.09015,   636.11462,     0.00000,   636.00000,   799.78918,  1219.98022,  2500.00000,     0.00000,   971.64648,     0.00000,  4518.85303,     0.00000
  49,   1,   1,   632.29999,   632.29999,   630.89661,   634.50842,   631.85999,   633.01715,   709.90454,   636.00000,   754.47064,  1805.16833,  2500.00000,     0.00000,  2896.67407,     0.00000,  1750.00000,     0.00000
  50,   1,   1,   632.29999,   631.19165,   635.16852,   632.29999,   633.40424,   630.86230,     0.00000,   636.00000,   760.05969,  1486.65833,  1750.00000,     0.00000,  2500.00000,     0.00000,  2848.80396,     0.00000
  51,   1,   1,   632.29999,   633.40833,   629.21149,   632.29999,   632.29999,   630.97504,     0.00000,   636.00000,   761.35089,  1242.84863,  2500.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  52,   1,   1,   632.29999,   631.19165,   632.52002,   630.31158,   630.19745,   631.52649,     0.00000,   636.00000,   726.16101,  1254.49072,  1750.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  53,   1,   1,   632.29999,   633.40833,   635.16852,   635.16852,   633.84839,   633.95770,   466.68188,   636.00000,   786.30774,  1770.13330,  2496.00000,     0.00000,   414.07956,     0.00000,  2500.00000,     0.00000
  54,   1,   1,   632.29999,   631.19165,   629.21149,   629.21149,   631.08167,   630.14313,     0.00000,   636.00000,   750.59546,  1270.74597,  2500.00000,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  55,   1,   1,   632.29999,   633.40833,   633.91937,   634.50842,   632.96826,   633.12854,     0.00000,   636.00000,   754.63678,  1437.52271,  2500.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  56,   1,   1,   632.29999,   631.19165,   630.68066,   630.60693,   632.55768,   632.46503,     0.00000,   815.87573,   756.95959,  1774.49414,  1750.00000,     0.00000,  3106.39990,     0.00000,  2500.00000,     0.00000
  57,   1,   1,   633.40009,   633.62836,   632.52002,   631.78461,   630.08746,   630.91937,     0.00000,   636.00000,   996.00000,  1557.11560,  2500.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  58,   1,   1,   632.29999,   633.18011,   634.79828,   634.13910,   634.07019,   633.86859,     0.00000,   971.76202,   822.19513,  1687.09998,  2500.00000,     0.00000,  1750.00000,     0.00000,  2794.11743,     0.00000
  59,   1,   1,   632.29999,   632.29999,   630.46179,   632.96161,   632.44202,   631.32257,   710.28479,   636.00000,   760.12878,  1687.09998,  1750.00000,     0.00000,  1750.00000,     0.00000,  2736.32764,     0.00000
  60,   1,   1,   632.29999,   632.29999,   633.04041,   629.79932,   631.38043,   632.07880,   397.74683,   636.00000,   996.00000,  1482.33960,  1750.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  61,   1,   1,   632.29999,   632.29999,   632.88794,   633.40833,   631.60382,   633.25610,   253.00000,   636.00000,   996.00000,  1680.12964,  1750.00000,     0.00000,  2500.00000,     0.00000,   794.32202,     0.00000
  62,   1,   1,   631.19989,   632.07996,   630.09155,   631.19165,   632.29999,   630.80560,     0.00000,   636.00000,   996.00000,  1291.49121,  1000.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  63,   1,   1,   632.29999,   630.31158,   633.40833,   632.29999,   631.74585,   632.59772,     0.00000,   636.00000,   996.00000,  1900.61609,  1750.00000,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  64,   1,   1,   632.29999,   632.29999,   631.19165,   632.29999,   632.29999,   630.84631,     0.00000,   636.00000,   996.00000,  1391.96094,  1000.00000,     0.00000,  2500.00000,     0.00000,  1998.74402,     0.00000
  65,   1,   1,   632.29999,   632.29999,   633.40833,   632.29999,   632.29999,   633.12854,     0.00000,  1163.57019,   863.40002,  1712.83276,  1000.00000,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  66,   1,   1,   632.29999,   632.29999,   631.19165,   632.29999,   632.29999,   630.91730,     0.00000,   636.00000,   996.00000,  1617.16724,  2500.00000,     0.00000,   425.41003,     0.00000,  2085.68188,     0.00000
  67,   1,   1,   632.29999,   632.29999,   633.91937,   634.50842,   634.51257,   633.40564,  1437.07227,  2296.19751,  1112.29944,  3982.80005,  4479.23828,     0.00000,  4138.00000,     0.00000,  4368.10059,     0.00000
  68,   1,   1,   632.29999,   632.29999,   630.68066,   630.09155,   632.29999,   631.19440,  1437.07227,  2296.11841,  1112.29944,  3982.80005,  4140.00000,     0.00000,  4138.00000,     0.00000,  4659.63818,     0.00000
  69,   1,   1,   632.29999,   632.29999,   634.13910,   634.13910,   632.11536,   633.40625,  1437.07227,  2250.36475,  1112.29944,  3982.80005,  4159.03271,     0.00000,  4138.00000,     0.00000,  4660.00000,     0.00000
  70,   1,   1,   633.40009,   633.62836,   633.76947,   634.88055,   634.50983,   634.51190,  1437.07227,  2249.26318,  1103.96826,  3982.80005,  4177.41943,     0.00000,  4138.00000,     0.00000,  4660.00000,     0.00000
  71,   1,   1,   631.19989,   631.85175,   632.29999,   630.96887,   632.92474,   632.20764,   709.95026,   636.00000,  1104.47278,  1281.83228,  3952.39941,     0.00000,  2500.00000,     0.00000,   819.01422,     0.00000
  72,   1,   1,   632.29999,   631.41992,   632.29999,   630.83490,   630.90186,   633.31256,   709.90601,   636.00000,   996.00000,  1296.44189,  2500.00000,     0.00000,  2860.98364,     0.00000,   801.37164,     0.00000
  73,   1,   1,   632.29999,   633.40833,   632.29999,   630.89661,   629.75739,   632.61169,   709.86188,   636.00000,   866.75769,  1303.60535,  1750.00000,     0.00000,   418.00958,     0.00000,  2500.00000,     0.00000
  74,   1,   1,   632.29999,   632.29999,   632.07996,   635.16852,   634.14087,   633.01892,   709.81769,   636.00000,   729.75092,  1314.36169,  1879.28198,     0.00000,   431.80518,     0.00000,   789.93146,     0.00000
  75,   1,   1,   632.29999,   631.19165,   629.21149,   629.21149,   631.08167,   629.22406,   253.00000,   636.00000,   489.79327,  1319.03357,  1000.00000,     0.00000,  2500.00000,     0.00000,   789.82214,     0.00000
  76,   1,   1,   632.29999,   633.40833,   632.81250,   632.52002,   631.97406,   633.05475,     0.00000,   636.00000,   996.00000,  1684.87708,  1203.27502,     0.00000,   513.23163,     0.00000,  1919.19910,     0.00000
