Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    9
Estg,Ser.,Pat.,Branson69   ,MILO_dummy  ,BK_dummy    ,EN_dummy    ,SCGT_GE7FA-1,SCGT_GE7FA-2,SCGT_GE7FA-I,CCGT_GE7FA-I,LM6000      
  66,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  67,   1,   1,     0.00000,     0.00000,     0.00000,   150.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  68,   1,   1,     0.00000,     0.00000,     0.00000,   150.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  69,   1,   1,     0.00000,     0.00000,     0.00000,   150.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  70,   1,   1,     0.00000,     0.00000,     0.00000,   150.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  71,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   360.00000,     0.00000,     0.00000,     0.00000,     0.00000
  72,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  73,   1,   1,   261.03915,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  74,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  75,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  76,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  77,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  78,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  79,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  80,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  81,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  82,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  83,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  84,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  85,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  86,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  87,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  88,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  89,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  90,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  91,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  92,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  93,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  94,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
  95,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   360.00000,     0.00000,     0.00000,     0.00000,     0.00000
  96,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  97,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  98,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
  99,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 100,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 101,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 102,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 103,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 104,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 105,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 106,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 107,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 108,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 109,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 110,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 111,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 112,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 113,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 114,   1,   1,   269.46002,  1398.00000,     0.00000,     0.00000,   662.46997,     0.00000,     0.00000,     0.00000,     0.00000
 115,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
 116,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
 117,   1,   1,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000,     0.00000
