Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
 117,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70799,   253.96268,   184.33394,   233.99338,   159.00000,   140.71179,   110.22861,    84.82792,   168.50000,   258.47000
 118,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70802,   253.96219,   184.33542,   233.99245,   159.00000,   140.70787,   110.15517,    84.69360,   168.50000,   258.47000
 119,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70805,   253.96170,   184.33690,   233.99237,   159.00000,   140.73134,   110.10833,    84.85696,   168.50000,   258.47000
 120,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70798,   253.96230,   184.33838,   233.99229,   159.00000,   140.72209,   109.84914,    85.07910,   168.50000,   258.47000
 121,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70805,   253.96133,   184.33772,   233.99136,   158.97578,   140.69987,   109.97930,    85.27989,   168.50000,   258.47000
 122,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70808,   253.96083,   184.33920,   233.99043,   158.98973,   140.69611,   110.12630,    85.18317,   168.50000,   258.47000
 123,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70811,   253.96034,   184.34068,   233.99055,   158.99860,   140.68329,   110.16074,    85.25474,   168.50000,   258.47000
 124,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70804,   253.96095,   184.34216,   233.99068,   159.00000,   140.68828,   110.12278,    85.25481,   168.50000,   258.47000
 125,   1,   1,   299.10394,   284.62396,   274.17133,   254.81400,   247.49001,   229.21001,   216.70796,   253.96156,   184.34364,   233.98975,   159.00000,   140.68285,   110.15236,    85.21725,   168.50000,   258.47000
 126,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70790,   253.96216,   184.34512,   233.98993,   159.00000,   140.67989,   110.28929,    85.21870,   168.50000,   258.47000
 127,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70782,   253.96277,   184.34660,   233.98900,   159.00000,   140.67390,   110.33700,    85.14900,   168.50000,   258.47000
